Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarts
,Tiles & Marble Work,6th Floor,,Bath 03 Floor Tiles,12''X12" RAK,49,sft,70,3430,
,Tiles & Marble Work,6th Floor,,Bath 04 Wall Tiles,12''X18''RAK,,sft,,0,
,Tiles & Marble Work,6th Floor,,Bath 04 Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,6th Floor,,Kitchen Wall Tiles,12''X18''RAK,521,sft,70,36470,
,Tiles & Marble Work,6th Floor,,Kitchen Floor Tiles,12''X12" RAK,268,sft,70,18760,
,Tiles & Marble Work,6th Floor,,Ser. Bath Wall Tiles,08''X12" RAK,138,sft,45,6210,
,Tiles & Marble Work,6th Floor,,Ser. Bath Floor Tiles,12''X12" RAK,22,sft,55,1210,
,Tiles & Marble Work,6th Floor,,Dining Basin Wall tiles,12''X18''RAK,79,sft,70,5530,
,Tiles & Marble Work,6th Floor,,Main Floor Tiles,24''X24''  RAK,"2,475.00",sft,120,297000,
,Tiles & Marble Work,6th Floor,,Kitchen Ver. Floor tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,6th Floor,,Ser. Bed Floor Tiles,12''X18''RAK,,sft,,0,
,Tiles & Marble Work,6th Floor,,Wash pit wall Tiles,08''X12" RAK,20,sft,70,1400,
,Tiles & Marble Work,6th Floor,Marble Work,Kitchen Slab (Marble Work),APCS,32,sft,500,16000,
,Tiles & Marble Work,6th Floor,Marble Work,Basin Slab (Marble Work),APCS,21,sft,500,10500,
,Tiles & Marble Work,6th Floor,Tiles Fixing Cost,Floor Tiles (300X300) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,6th Floor,Tiles Fixing Cost,Floor Tiles (600X600) (Tiles Fixing Cost),,"2,973.00",sft,18,53514,
,Tiles & Marble Work,6th Floor,Tiles Fixing Cost,Floor Tiles (800X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,6th Floor,Tiles Fixing Cost,Wall Tiles (300X600) (Tiles Fixing Cost),,"1,663.00",sft,18,29934,
,Tiles & Marble Work,6th Floor,Tiles Fixing Cost,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,6th Floor,Tiles Fixing Cost,Marble Work (Tiles Fixing Cost),,53,sft,120,6360,
,Tiles & Marble Work,6th Floor,Tiles Fixing Cost,Nonschedule Material (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,6th Floor,Tiles Fixing Cost,Nonschedule Labour Bill (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,6th Floor,Tiles Fixing Materials,Cement (Tiles Fixing Materials),Bashundhara,162.63,bag,405,65865.15,
,Tiles & Marble Work,6th Floor,Tiles Fixing Materials,L/Sand (Tiles Fixing Materials),APCS,779.21,cft,20,15584.2,
,Tiles & Marble Work,6th Floor,Tiles Fixing Materials,Putting (Con Mix) (Tiles Fixing Materials),Mirpur Ceramic,24,Kg,60,1440,
,Tiles & Marble Work,6th Floor,Tiles Fixing Materials,Viksol (Tiles Fixing Materials),APCS,24,lit.,100,2400,
,Tiles & Marble Work,6th Floor,Tiles Fixing Materials,Alamati (Tiles Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,6th Floor,Tiles Fixing Materials,Powder Colour (Tiles Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,6th Floor,Tiles Fixing Materials,Markin Kapor (Tiles Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,6th Floor,Tiles Fixing Materials,120 No. Paper (Tiles Fixing Materials),APCS,24,pcs,25,600,
,Tiles & Marble Work,7th Floor,,M. Bath Wall Tiles,12''X18''RAK,238,sft,70,16660,
,Tiles & Marble Work,7th Floor,,M. Bath Floor Tiles,12''X12" RAK,58,sft,70,4060,
,Tiles & Marble Work,7th Floor,,Bath 01 Wall Tiles,12''X18''RAK,284,sft,70,19880,
,Tiles & Marble Work,7th Floor,,Bath 01 Floor Tiles,12''X12" RAK,54,sft,70,3780,
,Tiles & Marble Work,7th Floor,,Bath 02 Wall Tiles,12''X18''RAK,195,sft,70,13650,
,Tiles & Marble Work,7th Floor,,Bath 02 Floor Tiles,12''X12" RAK,48,sft,70,3360,
,Tiles & Marble Work,7th Floor,,Bath 03 Wall Tiles,12''X18''RAK,188,sft,70,13160,
,Tiles & Marble Work,7th Floor,,Bath 03 Floor Tiles,12''X12" RAK,49,sft,70,3430,
,Tiles & Marble Work,7th Floor,,Bath 04 Wall Tiles,12''X18''RAK,,sft,,0,
,Tiles & Marble Work,7th Floor,,Bath 04 Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,7th Floor,,Kitchen Wall Tiles,12''X18''RAK,521,sft,70,36470,
,Tiles & Marble Work,7th Floor,,Kitchen Floor Tiles,12''X12" RAK,268,sft,70,18760,
,Tiles & Marble Work,7th Floor,,Ser. Bath Wall Tiles,08''X12" RAK,138,sft,45,6210,
,Tiles & Marble Work,7th Floor,,Ser. Bath Floor Tiles,12''X12" RAK,22,sft,55,1210,
,Tiles & Marble Work,7th Floor,,Dining Basin Wall tiles,12''X18''RAK,79,sft,70,5530,
,Tiles & Marble Work,7th Floor,,Main Floor Tiles,24''X24''  RAK,"2,411.00",sft,120,289320,
,Tiles & Marble Work,7th Floor,,Kitchen Ver. Floor tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,7th Floor,,Ser. Bed Floor Tiles,12''X18''RAK,,sft,,0,
,Tiles & Marble Work,7th Floor,,Wash pit wall Tiles,08''X12" RAK,20,sft,70,1400,
,Tiles & Marble Work,7th Floor,Marble Work,Kitchen Slab (Marble Work),APCS,32,sft,500,16000,
,Tiles & Marble Work,7th Floor,Marble Work,Basin Slab (Marble Work),APCS,21,sft,500,10500,
,Tiles & Marble Work,7th Floor,Tiles Fixing Cost,Floor Tiles (300X300) Tiles Fixing Cost,,,sft,,0,
,Tiles & Marble Work,7th Floor,Tiles Fixing Cost,Floor Tiles (600X600) (Tiles Fixing Cost),,"2,910.00",sft,18,52380,
,Tiles & Marble Work,7th Floor,Tiles Fixing Cost,Floor Tiles (800X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,7th Floor,Tiles Fixing Cost,Wall Tiles (300X600) (Tiles Fixing Cost),,"1,663.00",sft,18,29934,
,Tiles & Marble Work,7th Floor,Tiles Fixing Cost,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,7th Floor,Tiles Fixing Cost,Marble Work (Tiles Fixing Cost),,53,sft,120,6360,
,Tiles & Marble Work,7th Floor,Tiles Fixing Cost,Nonschedule Material (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,7th Floor,Tiles Fixing Cost,Nonschedule Labour Bill (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,7th Floor,(Tiles Fixing Materials),Cement (Tiles Fixing Materials),Bashundhara,160.02,bag,405,64808.1,
,Tiles & Marble Work,7th Floor,Tiles Fixing Materials,L/Sand (Tiles Fixing Materials),APCS,765.93,cft,20,15318.6,
,Tiles & Marble Work,7th Floor,Tiles Fixing Materials,Putting (Con Mix) (Tiles Fixing Materials),Mirpur Ceramic,24,Kg,60,1440,
,Tiles & Marble Work,7th Floor,Tiles Fixing Materials,Viksol (Tiles Fixing Materials),APCS,24,lit.,100,2400,
,Tiles & Marble Work,7th Floor,Tiles Fixing Materials,Alamati(Tiles Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,7th Floor,Tiles Fixing Materials,Powder Colour(Tiles Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,7th Floor,Tiles Fixing Materials,Markin Kapor(Tiles Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,7th Floor,Tiles Fixing Materials,120 No. Paper(Tiles Fixing Materials),APCS,24,pcs,25,600,
,Tiles & Marble Work,8th Floor,,M. Bath Wall Tiles,10''X13''RAK,238,sft,60,14280,
,Tiles & Marble Work,8th Floor,,M. Bath Floor Tiles,12''X12" RAK,58,sft,60,3480,
,Tiles & Marble Work,8th Floor,,Bath 01 Wall Tiles,10''X13''RAK,284,sft,60,17040,
,Tiles & Marble Work,8th Floor,,Bath 01 Floor Tiles,12''X12" RAK,54,sft,60,3240,
,Tiles & Marble Work,8th Floor,,Bath 02 Wall Tiles,10''X13''RAK,195,sft,60,11700,
,Tiles & Marble Work,8th Floor,,Bath 02 Floor Tiles,12''X12" RAK,48,sft,60,2880,
,Tiles & Marble Work,8th Floor,,Bath 03 Wall Tiles,10''X13''RAK,188,sft,60,11280,
,Tiles & Marble Work,8th Floor,,Bath 03 Floor Tiles,12''X12" RAK,49,sft,60,2940,
,Tiles & Marble Work,8th Floor,,Bath 04 Wall Tiles,10''X13''RAK,,sft,,0,
,Tiles & Marble Work,8th Floor,,Bath 04 Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,8th Floor,,Kitchen Wall Tiles,10''X13''RAK,521,sft,60,31260,
,Tiles & Marble Work,8th Floor,,Kitchen Floor Tiles,12''X12" RAK,268,sft,60,16080,
,Tiles & Marble Work,8th Floor,,Ser. Bath Wall Tiles,08''X12" RAK,138,sft,45,6210,
,Tiles & Marble Work,8th Floor,,Ser. Bath Floor Tiles,12''X12" RAK,22,sft,55,1210,
,Tiles & Marble Work,8th Floor,,Dining Basin Wall tiles,10''X13''RAK,79,sft,60,4740,
,Tiles & Marble Work,8th Floor,,Main Floor Tiles,24''X24''  RAK,"2,475.00",sft,100,247500,
,Tiles & Marble Work,8th Floor,,Kitchen Ver. Floor tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,8th Floor,,Ser. Bed Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,8th Floor,,Wash pit wall Tiles,10''X13''RAK,20,sft,60,1200,
,Tiles & Marble Work,8th Floor,Marble Work,Kitchen Slab (Marble Work),APCS,32,sft,500,16000,
,Tiles & Marble Work,8th Floor,Marble Work,Basin Slab (Marble Work),APCS,21,sft,500,10500,
,Tiles & Marble Work,8th Floor,Tiles Fixing Cost:,Floor Tiles (300X300) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,8th Floor,Tiles Fixing Cost:,Floor Tiles (600X600) (Tiles Fixing Cost),,"2,974.00",sft,18,53532,
,Tiles & Marble Work,8th Floor,Tiles Fixing Cost:,Floor Tiles (800X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,8th Floor,Tiles Fixing Cost:,Wall Tiles (300X600) (Tiles Fixing Cost),,"1,663.00",sft,18,29934,
,Tiles & Marble Work,8th Floor,Tiles Fixing Cost:,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,8th Floor,Tiles Fixing Cost:,Marble Work (Tiles Fixing Cost),,53,sft,120,6360,
,Tiles & Marble Work,8th Floor,Tiles Fixing Cost:,Nonschedule Material (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,8th Floor,Tiles Fixing Cost:,Nonschedule Labour Bill (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,8th Floor,Tiles Fixing Materials,Cement(Tiles Fixing Materials),Bashundhara,162.63,bag,405,65865.15,
,Tiles & Marble Work,8th Floor,Tiles Fixing Materials,L/Sand (Fixing Materials),APCS,779.23,cft,20,15584.6,
,Tiles & Marble Work,8th Floor,Tiles Fixing Materials,Putting (Con Mix) (Fixing Materials),Mirpur Ceramic,24,Kg,60,1440,
,Tiles & Marble Work,8th Floor,Tiles Fixing Materials,Viksol (Fixing Materials),APCS,24,lit.,100,2400,
,Tiles & Marble Work,8th Floor,Tiles Fixing Materials,Alamati (Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,8th Floor,Tiles Fixing Materials,Powder Colour (Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,8th Floor,Tiles Fixing Materials,Markin Kapor (Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,8th Floor,Tiles Fixing Materials,120 No. Paper (Tiles Fixing Materials),APCS,24,pcs,25,600,
,Tiles & Marble Work,Project Common Tiles,,Garden Wall Tiles,12''X24''  RAK,,sft,70,0,
,Tiles & Marble Work,Project Common Tiles,,Lift Wall Tiles,12''X24''  RAK,"1,113.00",sft,70,77910,
,Tiles & Marble Work,Project Common Tiles,,Stair lobby Tiles,24''X24''  RAK,"1,450.00",sft,100,145000,
,Tiles & Marble Work,Project Common Tiles,,Stair landing Tiles,12''X12" APCS,343,sft,55,18865,
,Tiles & Marble Work,Project Common Tiles,,Stair Step Tiles,12''X10.5" APCS,678,sft,60,40680,
,Tiles & Marble Work,Project Common Tiles,,Stair Raiser Tiles,12''X12" APCS,638,sft,55,35090,
,Tiles & Marble Work,Project Common Tiles,,Stair Skirting,12''X12" APCS,,sft,55,0,
,Tiles & Marble Work,Project Common Tiles,,Exterior Side Ceramic Tiles,APCS,,,,0,
,Tiles & Marble Work,Project Common Tiles,,Marble Work,,,,,0,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Stair Lobby & Trade (Tiles Fixing Cost),,"2,471.00",sft,20,49420,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Stair Riser Tiles (Tiles Fixing Cost),,638,rft,18,11484,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Wall Tiles (300X600) (Tiles Fixing Cost),,"1,113.00",sft,18,20034,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Marble Work (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Ceramic Tiles (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Rustic tiles (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Nonschedule Material (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Cost,Nonschedule Labour Bill (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Materials,Cement (Fixing Materials),Bashundhara,153.55,bag,405,62187.75,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Materials,L/Sand (Fixing Materials),APCS,748.54,cft,20,14970.8,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Materials,Putting (Con Mix) (Fixing Materials),Mirpur Ceramic,22,Kg,60,1320,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Materials,Viksol (Fixing Materials),APCS,22,lit.,100,2200,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Materials,Alamati (Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Materials,Powder Colour (Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Materials,Markin Kapor (Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,Project Common Tiles,Tiles Fixing Materials,120 No. Paper (Fixing Materials),APCS,22,pcs,25,550,
,Electric Work,Ground Floor To Roof Top,Slab Casting,1.25 '' Pipe (Slab Casting) ,,500,rft,6,3000,
,Electric Work,Ground Floor To Roof Top,Slab Casting,1.25" Socket(Slab Casting),,48,pcs,4.5,216,
,Electric Work,Ground Floor To Roof Top,Slab Casting,1.00 '' Pipe(Slab Casting),,"4,800.00",rft,4.5,21600,
,Electric Work,Ground Floor To Roof Top,Slab Casting,1.00" Socket(Slab Casting),,576,pcs,2.5,1440,
,Electric Work,Ground Floor To Roof Top,Slab Casting,1.00" Bend(Slab Casting),,660,pcs,5.2,3432,
,Electric Work,Ground Floor To Roof Top,Slab Casting,0.75 '' Pipe(Slab Casting),,"5,200.00",rft,3.8,19760,
,Electric Work,Ground Floor To Roof Top,Slab Casting,0.75" Socket(Slab Casting),,576,pcs,2.5,1440,
,Electric Work,Ground Floor To Roof Top,Slab Casting,0.75" Bend(Slab Casting),,768,pcs,2,1536,
,Electric Work,Ground Floor To Roof Top,Slab Casting,0.75'' Circular box(Slab Casting),,120,pcs,6,720,
,Electric Work,Ground Floor To Roof Top,Slab Casting,Fan box(Slab Casting),,200,pcs,55,11000,
,Electric Work,Ground Floor To Roof Top,Slab Casting,Sport light box(Slab Casting),,,pcs,28,0,
,Electric Work,Ground Floor To Roof Top,Slab Casting,Tisa Tape(Slab Casting),,72,pcs,20,1440,
,Electric Work,Ground Floor To Roof Top,Slab Casting,GI Wire (16 No.)(Slab Casting),,60,kg,100,6000,
,Electric Work,Ground Floor To Roof Top,Slab Casting,24 No. Wire(Slab Casting),,28,kg,100,2800,
,Electric Work,Ground Floor To Roof Top,Slab Casting,Solvent Cement (200 ml)(Slab Casting),,38,pcs,320,12160,
,Electric Work,Ground Floor To Roof Top,Slab Casting,Paper(Slab Casting),,65,kg,30,1950,
,Electric Work,Ground Floor To Roof Top,Group Cutting,1.25" pipe(Group Cutting),,500,rft,5.5,2750,
,Electric Work,Ground Floor To Roof Top,Group Cutting,1.25 Socket(Group Cutting),,48,pcs,4,192,
,Electric Work,Ground Floor To Roof Top,Group Cutting,1.00 '' Pipe(Group Cutting),,"2,800.00",rft,4,11200,
,Electric Work,Ground Floor To Roof Top,Group Cutting,1.00" Socket(Group Cutting),,216,pcs,2.5,540,
,Electric Work,Ground Floor To Roof Top,Group Cutting,1.00" Bend(Group Cutting),,240,pcs,3,720,
,Electric Work,Ground Floor To Roof Top,Group Cutting,0.75 '' Pipe(Group Cutting),,"2,500.00",rft,3.5,8750,
,Electric Work,Ground Floor To Roof Top,Group Cutting,0.75" Socket(Group Cutting),,216,pcs,2,432,
,Electric Work,Ground Floor To Roof Top,Group Cutting,0.75" Bend(Group Cutting),,816,pcs,2,1632,
,Electric Work,Ground Floor To Roof Top,Group Cutting,1 gang Mk board(Group Cutting),,122,pcs,22,2684,
,Electric Work,Ground Floor To Roof Top,Group Cutting,2 gang MK board(Group Cutting),,230,pcs,44,10120,
,Electric Work,Ground Floor To Roof Top,Group Cutting,3 gang MK Board(Group Cutting),,140,pcs,66,9240,
,Electric Work,Ground Floor To Roof Top,Group Cutting,4 gang MK Board(Group Cutting),,96,pcs,6,576,
,Electric Work,Ground Floor To Roof Top,Group Cutting,0.75'' Circular Box(Group Cutting),,120,pcs,70,8400,
,Electric Work,Ground Floor To Roof Top,Group Cutting,Joint Box (5" X 4")(Group Cutting),,,pcs,200,0,
,Electric Work,Ground Floor To Roof Top,Group Cutting,Joint Box (12" X 6")(Group Cutting),,,pcs,200,0,
,Electric Work,Ground Floor To Roof Top,Group Cutting,Joint Box (14" X 6")(Group Cutting),,,pcs,200,0,
,Electric Work,Ground Floor To Roof Top,Group Cutting,Joint Box (10" X 6")(Group Cutting),,,pcs,200,0,
,Electric Work,Ground Floor To Roof Top,Group Cutting,S.D.B Box (18"X24")(Group Cutting),,12,pcs,"4,000.00",48000,
,Electric Work,Ground Floor To Roof Top,Group Cutting,Dish Box (8"X12")(Group Cutting),,4,pcs,"1,500.00",6000,
,Electric Work,Ground Floor To Roof Top,Group Cutting,M.D.B Box(Group Cutting),,1,pcs,"25,000.00",25000,
,Electric Work,Ground Floor To Roof Top,Cable waring,1x1.5   RM 7W(Cable waring),Red,48,coil,"1,640.00",78720,
,Electric Work,Ground Floor To Roof Top,Cable waring,1X1.5   RM7W(Cable waring),Black,48,coil,"1,640.00",78720,
,Electric Work,Ground Floor To Roof Top,Cable waring,1X1.5   RM7W(Cable waring),Yello,14,coil,"1,550.00",21700,
,Electric Work,Ground Floor To Roof Top,Cable waring,1X1.5   RE1W(Cable waring),Green,,coil,"1,550.00",0,
,Electric Work,Ground Floor To Roof Top,Cable waring,1X1.0   RE1W(Cable waring),Green,28,coil,"1,100.00",30800,
,Electric Work,Ground Floor To Roof Top,Cable waring,1X2.5   RM7W(Cable waring),Red,37,coil,"2,650.00",98050,
,Electric Work,Ground Floor To Roof Top,Cable waring,1X2.5   RM7W(Cable waring),Black,37,coil,"2,650.00",98050,
,Electric Work,Ground Floor To Roof Top,Cable waring,1x4.0   RM7W(Cable waring),Red,18,coil,"4,050.00",72900,
,Electric Work,Ground Floor To Roof Top,Cable waring,1x4.0   RM7W(Cable waring),Black,18,coil,"4,050.00",72900,
,Electric Work,Ground Floor To Roof Top,Cable waring,1x10.0    RM7W(Cable waring),Red,4,coil,"10,000.00",40000,
,Electric Work,Ground Floor To Roof Top,Cable waring,1x 10.0   RM7W(Cable waring),Black,4,coil,"10,000.00",40000,
,Electric Work,Ground Floor To Roof Top,Cable waring,23/76 Flexiable Cable(Cable waring),White,120,Feet,40,4800,
,Electric Work,Ground Floor To Roof Top,Cable waring,25 RM Cable(Cable waring),,100,Metre,230,23000,
,Electric Work,Ground Floor To Roof Top,Cable waring,35 RM Cable(Cable waring),,,Metre,320,0,
,Electric Work,Ground Floor To Roof Top,Cable waring,RG6(Cable waring),Diss,15,coil,"3,700.00",55500,
,Electric Work,Ground Floor To Roof Top,Cable waring,CAT6 (300 Metre)(Cable waring),Inter Net,2,coil,"9,600.00",19200,
,Electric Work,Ground Floor To Roof Top,Cable waring,TC FourPair(Cable waring),Telephone,15,coil,"3,450.00",51750,
,Electric Work,Ground Floor To Roof Top,Cable waring,Tisa Tape(Cable waring),,72,pcs,20,1440,
,Electric Work,Ground Floor To Roof Top,Floor Pipe Waring,0.5 '' Pipe(Floor Pipe Waring),,"2,800.00",rft,2.5,7000,
,Electric Work,Ground Floor To Roof Top,Floor Pipe Waring,0.5" Socket(Floor Pipe Waring),,336,pcs,2,672,
,Electric Work,Ground Floor To Roof Top,Floor Pipe Waring,0.5" Bend(Floor Pipe Waring),,336,pcs,2,672,
,Electric Work,Ground Floor To Roof Top,Floor Pipe Waring,.05'' Flexible pipe(Floor Pipe Waring),,200,rft,10,2000,
,Electric Work,Ground Floor To Roof Top,Floor Pipe Waring,.75'' Flexible Pipe(Floor Pipe Waring),,200,rft,12,2400,
,Electric Work,Ground Floor To Roof Top,Floor Pipe Waring,1.5'' Flexible Pipe(Floor Pipe Waring),,200,rft,15,3000,
,Electric Work,Ground Floor To Roof Top,Floor Pipe Waring,GI Wire (16 No.)(Floor Pipe Waring),,10,kg,100,1000,
,Electric Work,Ground Floor To Roof Top,Floor Pipe Waring,Tisa Tape(Floor Pipe Waring),,36,pcs,20,720,
,Electric Work,Ground Floor To Roof Top,Finishing Work,1 Gang Switch(Finishing Work),,72,pcs,120,8640,
,Electric Work,Ground Floor To Roof Top,Finishing Work,2 Gang Switch(Finishing Work),,60,pcs,180,10800,
,Electric Work,Ground Floor To Roof Top,Finishing Work,3 Gang Switch(Finishing Work),,162,pcs,240,38880,
,Electric Work,Ground Floor To Roof Top,Finishing Work,4 Gang Switch(Finishing Work),,58,pcs,280,16240,
,Electric Work,Ground Floor To Roof Top,Finishing Work,2Pin (10 Amp)(Finishing Work),,234,pcs,235,54990,
,Electric Work,Ground Floor To Roof Top,Finishing Work,3Pin (13 Amp)(Finishing Work),,148,pcs,300,44400,
,Electric Work,Ground Floor To Roof Top,Finishing Work,3Pin (15 Amp)(Finishing Work),,82,pcs,300,24600,
,Electric Work,Ground Floor To Roof Top,Finishing Work,False Cover(Finishing Work),,20,pcs,35,700,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Dish Socket(Finishing Work),,41,pcs,190,7790,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Telephone Socket(Finishing Work),,29,pcs,210,6090,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Internet Socket(Finishing Work),,41,pcs,295,12095,
,Electric Work,Ground Floor To Roof Top,Finishing Work,D.P Switch(Finishing Work),,29,pcs,700,20300,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Bell Push(Finishing Work),,13,pcs,150,1950,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Fan Dimmer(Finishing Work),,148,pcs,220,32560,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Ceiling Rose(Finishing Work),,80,pcs,60,4800,
,Electric Work,Ground Floor To Roof Top,Finishing Work,10  Amp C. B. (S P)(Finishing Work),,90,pcs,280,25200,
,Electric Work,Ground Floor To Roof Top,Finishing Work,16  Amp C. B. (S P)(Finishing Work),,110,pcs,280,30800,
,Electric Work,Ground Floor To Roof Top,Finishing Work,20  Amp C. B. (S P)(Finishing Work),,126,pcs,280,35280,
,Electric Work,Ground Floor To Roof Top,Finishing Work,63  Amp C. B. (D P)(Finishing Work),,16,pcs,"1,850.00",29600,
,Electric Work,Ground Floor To Roof Top,Finishing Work,63  Amp C. B. (T P)(Finishing Work),,12,pcs,"1,850.00",22200,
,Electric Work,Ground Floor To Roof Top,Finishing Work,100 Amp C. B. (MCCB)(Finishing Work),,1,pcs,"5,800.00",5800,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Abonite (7" Round)(Finishing Work),,200,pcs,35,7000,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Abonite (5''X7'')(Finishing Work),,12,pcs,30,360,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Abonite (8''X16'')(Finishing Work),,8,pcs,60,480,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Abonite (8''X14'')(Finishing Work),,8,pcs,60,480,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Abonite (8''X12'')(Finishing Work),,8,pcs,50,400,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Star Screw(Finishing Work),,888,pcs,1,888,
,Electric Work,Ground Floor To Roof Top,Finishing Work,MK Screw(Finishing Work),,888,pcs,1,888,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Coin Washer(Finishing Work),,384,pcs,1,384,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Royal Plag (10 No.) Big Size(Finishing Work),,12,Packet,25,300,
,Electric Work,Ground Floor To Roof Top,Finishing Work,10 No. Royel Bollt(Finishing Work),,30,pcs,30,900,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Machine Screw(Finishing Work),,360,pcs,1,360,
,Electric Work,Ground Floor To Roof Top,Finishing Work,10 RM Cable Lux(Finishing Work),,264,pcs,10,2640,
,Electric Work,Ground Floor To Roof Top,Finishing Work,25 RM Cable Lux(Finishing Work),,24,pcs,20,480,
,Electric Work,Ground Floor To Roof Top,Finishing Work,35 RM Cable Lux(Finishing Work),,,pcs,25,0,
,Electric Work,Ground Floor To Roof Top,Finishing Work,200 MM Cable Tie(Finishing Work),,12,Packet,100,1200,
,Electric Work,Ground Floor To Roof Top,Finishing Work,Tisa Tep(Finishing Work),,72,pcs,20,1440,
,Electric Work,Ground Floor To Roof Top,15@25%,After Slab Casting(Labour Cost),,"29,665.24",Sft,3.75,111244.65,
,Electric Work,Ground Floor To Roof Top,15@25%,After Group Cutting(Labour Cost),,"29,665.24",Sft,3.75,111244.65,
,Electric Work,Ground Floor To Roof Top,20@25%,After Cable Wiring(Labour Cost),,"29,665.24",Sft,3,88995.72,
,Electric Work,Ground Floor To Roof Top,20@25%,After Fixing of FinishingMaterial(Labour Cost),,"29,665.24",Sft,3,88995.72,
,Electric Work,Ground Floor To Roof Top,10@25%,Security Money,,"29,665.24",Sft,1.5,44497.86,
,Thai & Glass Works,Ground Floor,,100mm Section Thai with 5mm Glass & net,,29.69,SFT,325,9649.25,
,Thai & Glass Works,Ground Floor,,100mm Section Thai with 5mm Glass & net with lover (Bathroom),,4,SFT,530,2120,
,Thai & Glass Works,Ground Floor,,10mm Temperd Glass with Frame,,306.71,SFT,520,159489.2,
